Bisasam,45,49,49,Pflanze
Bisaknosp,60,62,63,Pflanze
Bisaflor,80,82,83,Pflanze
Glumanda,39,52,43,Feuer
Glutexo,58,64,58,Feuer
Glurak,78,84,78,Feuer
Schiggy,44,48,65,Wasser
Schillok,59,63,80,Wasser
Turtok,79,83,100,Wasser
Rattfratz,30,56,35,Normal
Rattikarl,55,81,60,Normal
Pikachu,35,55,40,Elektro
Raichu,60,90,55,Elektro
Vulpix,38,41,40,Feuer
Vulnona,73,76,75,Feuer
Enton,50,52,48,Wasser
Entoron,80,82,78,Wasser
Fukano,55,70,45,Feuer
Arkani,90,110,80,Feuer
Quapsel,40,50,40,Wasser
Quaputzi,65,65,65,Wasser
Quappo,90,95,95,Wasser
Ponita,50,85,55,Feuer
Gallopa,65,100,70,Feuer
Flegmon,90,65,65,Wasser
Lahmus,95,75,110,Wasser
Jurob,65,45,55,Wasser
Jugong,90,70,80,Wasser
Muschas,30,65,100,Wasser
Austos,50,95,180,Wasser
Chaneira,250,5,5,Normal
Eevee,55,55,50,Normal
Aquana,130,65,60,Wasser
Blitza,65,65,60,Elektro
Flamara,65,130,60,Feuer
Porygon,65,60,70,Normal
Relaxo,160,110,65,Normal
Feurigel,39,52,43,Feuer
Igelavar,58,64,58,Feuer
Tornupto,78,84,78,Feuer
Karnimani,50,65,64,Wasser
Tyracroc,65,80,80,Wasser
Impergator,85,105,100,Wasser
Lanturn,125,58,58,Wasser
Voltilamm,55,40,40,Elektro
Waaty,70,55,55,Elektro
Ampharos,90,75,85,Elektro
Marill,70,20,50,Wasser
Azumarill,100,50,80,Wasser
Sonnflora,75,75,55,Pflanze
Morlord,95,85,85,Wasser
Miltank,95,80,105,Normal
Raikou,90,85,75,Elektro
Entei,115,115,85,Feuer
Suicune,100,75,115,Wasser
Geckarbor,40,45,35,Pflanze
Reptain,50,65,45,Pflanze
Gewaldro,70,85,65,Pflanze
Flemmli,45,60,40,Feuer
Jungglut,60,85,60,Feuer
Lohgock,80,120,70,Feuer
Hydropi,50,70,50,Wasser
Moorabbel,70,85,70,Wasser
Sumpex,100,110,90,Wasser
Zigzachs,38,30,41,Normal
Geradaks,78,70,61,Normal
Kapilz,60,130,80,Pflanze
Wailord,170,90,45,Wasser
Camaub,60,60,40,Feuer
Camerupt,70,100,70,Feuer
Formeo,70,70,70,Normal
Kyogre,100,100,90,Wasser
Groudon,100,150,140,Feuer
Chelast,55,68,64,Pflanze
Chelcarain,75,89,85,Pflanze
Chelterrar,95,109,105,Pflanze
Panflam,44,58,44,Feuer
Panpyro,64,78,52,Feuer
Panferno,76,104,71,Feuer
Plinfa,53,51,53,Wasser
Pliprin,64,66,68,Wasser
Impoleon,84,86,88,Wasser
